transaction_id,store_id,department,brand,channel,upc,sku,product_name,quantity,units_sold,units_received,revenue,cost,margin,price,discount,return_flag,exchange_flag,transaction_date,sell_through_flag,premium_flag,transaction_flag
TXN-03-05101,STORE-010,Home & Garden,BrandH,In-Store,UPC-447501123,SKU-HOM-9803,Chair,4,4,2,543.36,348.69,194.67,146.18,10.34,0,0,2025-12-20 15:00:00,0,0,1
TXN-03-02138,STORE-004,Grocery,BrandH,Online,UPC-204550407,SKU-GRO-5300,Milk,4,4,2,196.44,129.96,66.48,62.46,13.35,0,0,2025-12-19 12:00:00,1,0,1
TXN-03-02157,STORE-010,Apparel,BrandF,Online,UPC-610556244,SKU-APP-5240,Scarf,6,6,3,140.34,89.32,51.02,26.75,3.36,1,1,2025-12-28 20:00:00,1,0,1
TXN-03-01507,STORE-013,Apparel,BrandB,Online,UPC-145278740,SKU-APP-2850,Jacket,4,4,2,512.52,282.53,229.99,142.67,14.54,0,0,2025-12-19 23:00:00,0,1,1
TXN-03-06028,STORE-013,Home & Garden,BrandB,Mobile,UPC-319024980,SKU-HOM-1000,Lamp,7,7,0,817.18,442.76,374.42,141.88,25.14,0,0,2025-12-16 12:00:00,0,0,1
TXN-03-04918,STORE-010,Electronics,BrandD,In-Store,UPC-487254393,SKU-ELE-3407,Camera,4,4,0,1549.72,813.38,736.34,400.3,12.87,0,0,2025-12-07 08:00:00,0,0,1
TXN-03-01146,STORE-012,Apparel,BrandD,In-Store,UPC-175287943,SKU-APP-8020,Hat,6,6,1,1717.32,989.17,728.15,398.3,112.08,0,0,2025-12-29 08:00:00,1,1,1
TXN-03-03847,STORE-013,Home & Garden,BrandA,Online,UPC-745636190,SKU-HOM-8630,Tool Set,6,6,3,1908.6,958.79,949.81,325.09,6.99,0,0,2025-12-24 04:00:00,0,1,1
TXN-03-01687,STORE-014,Electronics,BrandC,In-Store,UPC-649042273,SKU-ELE-9792,Charger,3,3,2,622.5,352.89,269.61,250.5,43.0,0,0,2025-12-06 16:00:00,1,0,1
TXN-03-04938,STORE-009,Home & Garden,BrandC,Online,UPC-312938083,SKU-HOM-2938,Lamp,3,3,3,156.45,64.26,92.19,65.54,13.39,0,0,2025-12-25 10:00:00,1,1,1
TXN-03-03682,STORE-010,Home & Garden,BrandC,Online,UPC-911455279,SKU-HOM-9301,Hose,3,3,4,1016.28,539.4,476.88,478.4,139.64,0,0,2025-12-09 22:00:00,0,0,1
TXN-03-04172,STORE-002,Apparel,BrandD,In-Store,UPC-501163630,SKU-APP-8740,T-Shirt,2,2,3,620.02,319.42,300.6,335.86,25.85,1,1,2025-12-04 07:00:00,1,0,1
TXN-03-05263,STORE-014,Home & Garden,BrandH,Online,UPC-394269047,SKU-HOM-2000,Chair,2,2,1,752.54,463.33,289.21,476.06,99.79,0,0,2025-12-14 17:00:00,1,0,1
TXN-03-01466,STORE-004,Home & Garden,BrandB,In-Store,UPC-787279672,SKU-HOM-3394,Chair,4,4,0,1515.96,768.81,747.15,448.8,69.81,0,0,2025-12-15 02:00:00,1,1,1
TXN-03-04016,STORE-007,Electronics,BrandD,In-Store,UPC-790269150,SKU-ELE-2143,Camera,8,8,1,960.8,486.14,474.66,164.61,44.51,0,0,2025-12-01 20:00:00,1,0,1
TXN-03-03493,STORE-009,Home & Garden,BrandE,Mobile,UPC-666429487,SKU-HOM-1168,Lamp,3,3,3,652.47,376.75,275.72,296.05,78.56,0,0,2025-12-21 13:00:00,1,1,1
TXN-03-05787,STORE-001,Sports,BrandD,Online,UPC-926314103,SKU-SPO-1305,Jersey,3,3,4,1316.19,901.22,414.97,450.58,11.85,0,0,2025-12-25 12:00:00,0,0,1
TXN-03-02902,STORE-015,Electronics,BrandD,In-Store,UPC-340844592,SKU-ELE-4723,Phone,5,5,0,1097.3,486.13,611.17,225.96,6.5,0,0,2025-12-11 01:00:00,0,0,1
TXN-03-05438,STORE-019,Sports,BrandE,Online,UPC-318792207,SKU-SPO-8480,Dumbbell,3,3,1,510.6,261.1,249.5,170.21,0.01,0,0,2025-12-09 06:00:00,1,0,1
TXN-03-00054,STORE-015,Grocery,BrandH,In-Store,UPC-401337309,SKU-GRO-9319,Coffee,4,4,4,1742.2,833.72,908.48,444.1,8.55,1,0,2025-12-20 00:00:00,1,0,1
TXN-03-02389,STORE-001,Grocery,BrandC,Online,UPC-636070585,SKU-GRO-3375,Cereal,3,3,0,188.67,130.93,57.74,71.61,8.72,0,0,2025-12-13 22:00:00,1,1,1
TXN-03-00460,STORE-002,Apparel,BrandF,Online,UPC-960969289,SKU-APP-7398,Jacket,2,2,1,835.82,372.67,463.15,419.56,1.65,0,0,2025-12-09 07:00:00,0,0,1
TXN-03-01516,STORE-019,Apparel,BrandA,In-Store,UPC-667360051,SKU-APP-6338,Scarf,2,2,0,697.62,413.13,284.49,359.49,10.68,0,0,2025-12-19 22:00:00,0,1,1
TXN-03-06287,STORE-015,Apparel,BrandG,Mobile,UPC-666140728,SKU-APP-2286,Socks,5,5,1,1100.85,521.65,579.2,268.72,48.55,0,0,2025-12-08 17:00:00,1,1,1
TXN-03-02945,STORE-017,Grocery,BrandC,Mobile,UPC-873182413,SKU-GRO-4816,Juice,1,1,1,121.12,89.02,32.1,160.57,39.45,0,0,2025-12-25 21:00:00,1,1,1
TXN-03-02269,STORE-003,Grocery,BrandD,Mobile,UPC-571227347,SKU-GRO-4253,Juice,8,8,4,648.72,277.1,371.62,81.38,0.29,0,0,2025-12-29 15:00:00,1,1,1
TXN-03-01453,STORE-005,Electronics,BrandB,In-Store,UPC-391730889,SKU-ELE-8410,Phone,7,7,3,94.36,65.16,29.2,18.62,5.14,0,0,2025-12-07 09:00:00,1,0,1
TXN-03-02086,STORE-007,Home & Garden,BrandC,In-Store,UPC-260925149,SKU-HOM-8140,Tool Set,4,4,0,729.68,536.67,193.01,228.2,45.78,0,0,2025-12-15 17:00:00,1,1,1
TXN-03-02148,STORE-008,Sports,BrandB,Mobile,UPC-762881736,SKU-SPO-5807,Cap,7,7,4,47.81,33.13,14.68,8.19,1.36,0,0,2025-12-24 05:00:00,1,1,1
TXN-03-06372,STORE-018,Electronics,BrandG,Online,UPC-439771342,SKU-ELE-4798,Charger,7,7,3,1695.54,694.2,1001.34,260.98,18.76,0,0,2025-12-17 05:00:00,1,1,1
TXN-03-04647,STORE-003,Apparel,BrandA,In-Store,UPC-510110347,SKU-APP-3292,Hat,1,1,4,306.55,135.61,170.94,404.5,97.95,0,0,2025-12-23 20:00:00,1,0,1
TXN-03-01303,STORE-015,Apparel,BrandH,Online,UPC-352396163,SKU-APP-3600,Scarf,4,4,4,625.36,436.68,188.68,205.18,48.84,0,0,2025-12-28 06:00:00,1,0,1
TXN-03-02162,STORE-007,Electronics,BrandA,Online,UPC-380042468,SKU-ELE-4913,Charger,3,3,0,511.77,338.55,173.22,190.7,20.11,0,0,2025-12-05 07:00:00,1,1,1
TXN-03-04282,STORE-010,Grocery,BrandE,In-Store,UPC-286049713,SKU-GRO-4608,Bread,8,8,3,1213.44,753.07,460.37,182.96,31.28,0,0,2025-12-11 02:00:00,1,0,1
TXN-03-00703,STORE-004,Grocery,BrandF,In-Store,UPC-984083834,SKU-GRO-9865,Bread,3,3,2,292.29,179.04,113.25,111.57,14.14,0,0,2025-12-10 22:00:00,1,0,1
TXN-03-02830,STORE-011,Home & Garden,BrandA,Online,UPC-921860960,SKU-HOM-6886,Rug,9,9,4,3283.74,2032.54,1251.2,439.87,75.01,0,0,2025-12-03 17:00:00,1,0,1
TXN-03-02782,STORE-006,Grocery,BrandE,Online,UPC-142626899,SKU-GRO-9722,Cereal,4,4,4,1425.72,767.72,658.0,402.73,46.3,0,0,2025-12-28 15:00:00,1,0,1
TXN-03-02177,STORE-016,Grocery,BrandA,In-Store,UPC-926406163,SKU-GRO-2599,Cereal,3,3,1,1058.34,772.91,285.43,395.87,43.09,1,0,2025-12-09 08:00:00,0,0,1
TXN-03-02380,STORE-009,Home & Garden,BrandF,In-Store,UPC-773736925,SKU-HOM-1171,Rug,4,4,3,241.6,137.41,104.19,63.88,3.48,0,0,2025-12-15 20:00:00,1,1,1
TXN-03-02160,STORE-011,Grocery,BrandE,In-Store,UPC-709152346,SKU-GRO-3240,Milk,5,5,1,108.6,77.85,30.75,22.2,0.48,0,0,2025-12-14 21:00:00,0,0,1
TXN-03-03538,STORE-006,Sports,BrandC,Mobile,UPC-441744031,SKU-SPO-4313,Running Shoes,5,5,1,46.35,31.43,14.92,10.36,1.09,0,0,2025-12-07 14:00:00,0,0,1
TXN-03-02861,STORE-013,Sports,BrandH,Online,UPC-910008379,SKU-SPO-3974,Resistance Band,6,6,2,2228.7,1452.72,775.98,451.95,80.5,0,0,2025-12-29 03:00:00,0,0,1
TXN-03-01497,STORE-016,Sports,BrandH,Online,UPC-453635696,SKU-SPO-7649,Cap,9,9,3,3123.99,1924.48,1199.51,418.19,71.08,0,0,2025-12-26 16:00:00,1,0,1
TXN-03-06351,STORE-003,Electronics,BrandC,Online,UPC-739486075,SKU-ELE-6102,Monitor,8,8,4,2443.36,1268.7,1174.66,310.62,5.2,0,0,2025-12-09 20:00:00,1,0,1
TXN-03-06032,STORE-008,Home & Garden,BrandA,In-Store,UPC-407534354,SKU-HOM-7276,Hose,3,3,4,692.01,514.5,177.51,245.01,14.34,1,1,2025-12-15 16:00:00,1,0,1
TXN-03-03608,STORE-004,Sports,BrandH,In-Store,UPC-652760774,SKU-SPO-5094,Jersey,4,4,4,618.44,360.02,258.42,182.74,28.13,0,0,2025-12-17 02:00:00,0,1,1
TXN-03-16419,STORE-006,Electronics,BrandC,Mobile,UPC-366273835,SKU-ELE-4308,Monitor,9,9,3,2495.97,1085.58,1410.39,371.99,94.66,0,0,2025-12-21 06:00:00,1,0,1
TXN-03-01430,STORE-002,Home & Garden,BrandC,In-Store,UPC-194030420,SKU-HOM-2695,Vase,9,9,2,4091.22,2930.1,1161.12,486.53,31.95,0,0,2025-12-21 09:00:00,0,0,1
TXN-03-06346,STORE-014,Home & Garden,BrandG,In-Store,UPC-560742080,SKU-HOM-9044,Hose,3,3,2,58.71,40.27,18.44,25.64,6.07,1,0,2025-12-09 01:00:00,1,0,1
TXN-03-03314,STORE-011,Home & Garden,BrandE,In-Store,UPC-509412486,SKU-HOM-8861,Vase,2,2,4,379.9,157.15,222.75,225.67,35.72,0,0,2025-12-03 10:00:00,1,0,1
TXN-03-00531,STORE-015,Apparel,BrandD,In-Store,UPC-779008776,SKU-APP-1408,Scarf,4,4,3,381.84,208.35,173.49,106.69,11.23,1,0,2025-12-16 02:00:00,1,0,1
TXN-03-03593,STORE-014,Home & Garden,BrandE,Online,UPC-441381974,SKU-HOM-5500,Hose,5,5,3,1445.6,879.32,566.28,401.09,111.97,0,0,2025-12-01 19:00:00,1,0,1
TXN-03-05083,STORE-004,Home & Garden,BrandG,In-Store,UPC-477500544,SKU-HOM-9853,Tool Set,1,1,0,55.44,31.54,23.9,63.83,8.39,1,0,2025-12-24 19:00:00,0,1,1
TXN-03-00512,STORE-014,Apparel,BrandB,Online,UPC-503257465,SKU-APP-9378,Hat,1,1,3,240.72,165.34,75.38,249.36,8.64,0,0,2025-12-13 00:00:00,0,0,1
TXN-03-01885,STORE-004,Apparel,BrandA,Online,UPC-913178630,SKU-APP-7102,Shoes,3,3,0,730.14,371.35,358.79,300.22,56.84,0,0,2025-12-04 01:00:00,0,1,1
TXN-03-00446,STORE-014,Grocery,BrandC,Online,UPC-491793983,SKU-GRO-5174,Milk,8,8,2,657.04,417.78,239.26,111.6,29.47,0,0,2025-12-05 17:00:00,1,1,1
TXN-03-03890,STORE-003,Sports,BrandC,Mobile,UPC-707227932,SKU-SPO-3223,Cap,3,3,2,571.89,229.58,342.31,250.08,59.45,0,0,2025-12-04 10:00:00,0,0,1
TXN-03-01480,STORE-006,Home & Garden,BrandA,Online,UPC-331345762,SKU-HOM-9187,Plant Pot,4,4,3,1334.44,618.4,716.04,384.21,50.6,0,0,2025-12-17 14:00:00,0,0,1
TXN-03-00148,STORE-010,Home & Garden,BrandF,Online,UPC-242952466,SKU-HOM-7392,Chair,5,5,2,463.15,219.74,243.41,118.37,25.74,0,0,2025-12-15 04:00:00,1,0,1
TXN-03-05761,STORE-016,Apparel,BrandH,Online,UPC-296653186,SKU-APP-3272,T-Shirt,1,1,4,306.5,175.62,130.88,331.97,25.47,0,0,2025-12-17 20:00:00,0,0,1
TXN-03-06244,STORE-019,Sports,BrandB,Online,UPC-357772124,SKU-SPO-4182,Jersey,1,1,2,292.05,165.68,126.37,300.02,7.97,0,0,2025-12-07 19:00:00,1,0,1
TXN-03-03166,STORE-017,Grocery,BrandF,In-Store,UPC-678196992,SKU-GRO-6552,Bread,5,5,1,1497.4,672.98,824.42,335.79,36.31,0,0,2025-12-20 18:00:00,0,0,1
TXN-03-00722,STORE-008,Apparel,BrandB,In-Store,UPC-108953450,SKU-APP-8052,Dress,9,9,0,3319.47,2128.44,1191.03,390.76,21.93,0,0,2025-12-15 22:00:00,1,0,1
TXN-03-01737,STORE-003,Apparel,BrandC,Mobile,UPC-618335238,SKU-APP-2898,T-Shirt,7,7,0,491.75,238.3,253.45,71.58,1.33,0,0,2025-12-19 07:00:00,1,0,1
TXN-03-05600,STORE-005,Grocery,BrandE,In-Store,UPC-936953504,SKU-GRO-9653,Cereal,3,3,4,146.58,103.15,43.43,61.9,13.04,0,0,2025-12-17 13:00:00,1,0,1
TXN-03-05064,STORE-013,Home & Garden,BrandB,In-Store,UPC-959909551,SKU-HOM-2258,Plant Pot,6,6,4,91.8,65.32,26.48,21.44,6.14,1,0,2025-12-08 14:00:00,0,0,1
TXN-03-03371,STORE-014,Sports,BrandD,In-Store,UPC-172735463,SKU-SPO-9588,Water Bottle,8,8,0,2963.36,1596.79,1366.57,412.39,41.97,0,0,2025-12-18 20:00:00,0,0,1
TXN-03-04577,STORE-011,Home & Garden,BrandG,In-Store,UPC-114431808,SKU-HOM-9808,Chair,3,3,1,647.64,358.4,289.24,269.32,53.44,1,0,2025-12-20 07:00:00,1,0,1
